"index";"jogoMiolosDesigner"
2291;"Leandro Pinto"
2292;"Daniel Silveira"
2296;"Jens-Peter Schliemann"
2299;"Mattox Shuler"
2301;"Loïc Lamy"
2304;"Jerry Taylor"
2308;"Brian David-Marshall"
2309;"Cussa Mitre"
2310;"Allen Chang"
2311;"Théo Rivière"
2314;"Sébastien Gigaudaut"
2315;"Jordan Weisman"
2317;"Nikolas Sakaloglou"
2322;"Robin Lees"
2325;"Heinz Meister"
2326;"Winning Moves"
2328;"Michael A. Brown"
2330;"Henry Stern"
2331;"Daniel Guimarães"
2332;"Thomas Cauet"
2338;"Innovention Toys"
2339;"Jarek Ewertowski"
2340;"Nicolas Oury"
2344;"Milan Tasevski"
2349;"Sean Ross"
2352;"Dan Keltner"
2353;"Tiago Junges"
2356;"Wizards of the Coast"
2358;"Nathanael Mortensen"
2362;"Rôla"
2364;"Karen Boginski"
2366;"Alfons Rubbens"
2371;"Robert K. Gabhart"
2372;"Adam West"
2374;"Sam Mitschke"
2382;"Kenneth Johnson"
2384;"Olivier Rolko"
2385;"Derek Carver"
2393;"Marcin Senior Ropka"
2394;"André Zatz"
2397;"Hubert Bartos"
2404;"Jason Maxwell"
2408;"Dario Dordoni"
2410;"Alan D. Ernstein"
2416;"André Perriolat"
2417;"Marco Valtriani"
2419;"Davi Rodrigues"
2426;"Werner Hodel"
2427;"Tom Cleaver"
2431;"Tomas Flodén"
2432;"Hung Ming"
2434;"Raúl Fernández Aparicio"
2435;"Alexis Allard"
2437;"Sergio Aragonés"
2438;"Hendric Sueitt"
2439;"Michael Fox (II)"
2440;"Kory Heath"
2444;"Domingo Cabrero"
2446;"Jeffrey CCH"
2448;"Dan Verssen"
2455;"John Kean"
2458;"Philip Orbanes"
2460;"Kali Fitzgerald"
2461;"David G. Royffe"
2466;"Henry Makow"
2467;"Jarmo Kuitunen"
2469;"Pierluca Zizzi"
2470;"Tom Braunlich"
2471;"Iaggo Piffero"
2472;"Anika Richter"
2475;"Mike Richie"
2476;"Kelly North Adams"
2478;"Estrela"
2479;"Oliver Richtberg"
2481;"Geoffrey Bull"
2485;"Benjamin Liersch"
2486;"Yury Yamshchikov"
2488;"Bill Payne"
2490;"Bob Brechin"
2492;"Steve Kendall"
2493;"Curt Covert"
2500;"Jeppe Norsker"
2501;"Eddy Boxerman"
2504;"Ignazio Corrao"
2505;"Don Beyer"
2506;"Gerard Ascensi"
2507;"Doug Bass"
2513;"Romain Caterdjian"
2518;"Renato Sasdelli"
2526;"Eugene and Louise"
2532;"David Ausloos"
2534;"Doris Matthäus"
2535;"Alberto Menoncin"
2537;"Bernhard Lach"
2539;"Emma Larkins"
2543;"Jeff Gracia"
2549;"Bruno Teixeira Maia"
2556;"Saar Shai"
2557;"Daryl Andrews"
2559;"Pablo Abraham"
2562;"Chris Bryan"
2564;"Joe Price"
2566;"Steven Poelzing"
2567;"Paolo Di Stefano"
2569;"Marvin Glass"
2570;"Gioacchino Prestigiacomo"
2571;"Dimitris Drakopoulos"
2583;"Wei-Min Ling"
2585;"Jaro Andruszkiewicz"
2586;"Rüdiger Koltze"
2591;"Klaus Westerhoff"
2592;"Alex Churchill"
2593;"(Public Domain)"
2595;"Tim Page"
2598;"Anima Studio"
2600;"Mario Porpora"
2601;"Rob Newton"
2604;"ADC Blackfire Entertainment GmbH"
2605;"Julio E. Nazario"
2607;"Norbert Proena"
2608;"Damien Desnous"
2610;"Guilherme Moraes"
2613;"Bureau De Juegos"
2616;"Per Gauding"
2617;"Jake Staines"
2620;"Zachary Eagle"
2622;"Daniel Quodbach"
2623;"David Gregg"
2629;"Mike Tinney"
2632;"Bernhard Weber"
2633;"Corinna Harder"
2634;"Fábio Melo"
2636;"Alexandre Garcia"
2638;"Ivan Tuzovsky"
2641;"Edwin S. Lowe"
2643;"Toshiki Sato"
2648;"Mordecai Meirowitz"
2649;"Lucas Hedgren"
2651;"Paul Laane"
2652;"Momo Besedic"
2661;"Jason Sondoh"
2665;"Tobias Goslar"
2668;"Michel Matschoss"
2671;"Richard Berthold"
2672;"Mattiene Moustakas"
2675;"Scott Slomiany"
2678;"Chris James"
2679;"Chris Childs"
2682;"Todd Breitenstein"
2684;"Walter Obert"
2689;"Ryan Amos"
2691;"David Chott"
2693;"Constantine Kevorque"
2694;"Paul Randles"
2700;"Firmino Martínez"
2701;"Hagen Dorgathen"
2703;"David Carl"
2713;"Mark Rivera"
2715;"Ned Strongin"
2717;"Fabien Bleuze"
2718;"Brett G. Murrell"
2719;"Conclave Editora"
2721;"Nick Little"
2724;"Nikolay Pegasov"
2726;"Antonin Boccara"
2729;"Mark Tuck"
2730;"Anthony Daamen"
2733;"Dados & Jogos"
2735;"Marcos Barreto"
2736;"Hazel ""Skip"" Bowman"
2739;"Fernando Fonseca Jr."
2741;"Katalin Nimmerfroh"
2744;"Gordon A. Barlow"
2745;"Pablo Céspedes"
2747;"Leonhard ""Lonny"" Orgler"
2750;"Geoff Engelstein"
2757;"Jack B. Slimp, Jr."
2758;"Elad Goldsteen"
2760;"Amanda Birkinshaw"
2767;"Chad DeShon"
2770;"Mr. Bistro"
2781;"Elke Vogel"
2782;"Miranda Evarts"
2784;"Jordi Gené"
2791;"Ulrich Blum"
2794;"André Luiz Silva Negrão"
2795;"Skaff Elias"
2799;"Alf Seegert"
2802;"Bruno Carvalho"
2807;"Ralf Burkert"
2816;"Thomas Dupont"
2821;"David Rene Miller"
2826;"Arnaud de Rosnay"
2830;"Alessio Cavatore"
2831;"Rafael Arrivabene"
2833;"Frank Hampson"
2835;"David Haslam"
2836;"Ikhwan Kwon"
2839;"Evan Song"
2840;"Ken Gruhl"
2844;"Nick Hayes"
2846;"Otávio Lacerda"
2847;"Chuck Foley"
2853;"Aza Chen"
2854;"Arne Lauwers"
2859;"Grzegorz Kalarus"
2863;"Rocco Privetera"
2866;"David Castilho"
2867;"Piet Hein"
2870;"Gaetano Evola"
2877;"Russell Godwin"
2878;"Christwart Conrad"
2882;"Harald Lieske"
2884;"Dr. Heinz Haber"
2886;"Charles Darrow"
2889;"Cryptozoic Entertainment"
2894;"Kit Ho"
2895;"Martin Ebel"
2900;"David Harding (II)"
2903;"Lúcio Abbondati, Jr."
2905;"Gigamic"
2906;"István Pócsi"
2907;"Michael Gray"
2909;"Ludovic Gimet"
2911;"Claude Duvernay"
2912;"Theo Coster"
2913;"Mike Young"
2914;"Reuben Klamer"
2915;"Joe Weatherall"
2917;"Alessandro de Oliveira"
2920;"Alison Frane"
2921;"Sam S. Rakover"
2925;"Eron Dal Molin"
2926;"NIG Brinquedos"
2927;"Mark Klassen"
2929;"Renato Silva Sasdelli"
2932;"Miles Copeland"
2934;"J. Duncan"
2938;"Ben Harkins"
2942;"Max Holliday"
2943;"Kevin Hill"
2944;"Frank Alberts"
2946;"Thomas Pauli"
2949;"Arnaud Urbon"
2950;"Tyler Kenney"
2952;"Matthew Kirby"
2955;"Hermes Herbert Müller"
2961;"Dan Manfredini"
2962;"Emílio Damiani, Jr."
2965;"Fabiano Onça"
2976;"Jeff Kinney"
2977;"Flavio Jandorno"
2982;"Nicolas Sato"
2983;"Daniel Landis"
2984;"Cory Jones"
2988;"Jeanie Gadish"
2990;"Thiago Brito"
3001;"Mattel Brasil"
3013;"Joseph Limbaugh"
3014;"Julio Trois"
3022;"Marcos Wellberq"
3027;"Nelson do Vale Oliveira"
3030;"Jurgen Spreutels"
3031;"Chris Castagnetto"
3036;"Alexey Konnov"
3039;"Clifford Von Wickler"
3042;"Paul T. Haskell, Jr."
3043;"George S. Parker"
3050;"Golden"
3054;"François Blanc"
3060;"Fernando Fumis"
3064;"Robson Minghini"
3066;"A. Eddie Goldfarb"
3067;"Klaus Maximilian"
3068;"Chris Barnardo"
3072;"I Ching"
3077;"Fernand Nathan"
3079;"Milton Célio de Oliveira Filho"
