"index";"bg_designer"
1622;"Thomas Odenhoven"
1638;"James Hata"
1640;"Ken Dunn"
1643;"Charlie Potter"
1644;"Mark Major"
1647;"James M Hewitt"
1647;"Andy Hoare"
1648;"Jordan Comar"
1648;"Roscoe Wetlaufer"
1650;"Jason Kotarski"
1653;"Dave Campbell II"
1654;"Alain Ollier"
1658;"Diego Ibez"
1660;"Fabrice Besson"
1661;"Jack Dire"
1662;"Jack Degnan"
1663;"Patrick Rothfuss"
1664;"Andy Jones"
1668;"Monte Cook"
1668;"Jeff Grubb"
1668;"Seth Johnson"
1668;"Jon Leitheusser"
1668;"Jeff Quick"
1673;"Josh Wielgus"
1674;"Marco Montanaro"
1675;"Evan Singh"
1681;"Jake Staines"
1682;"Salvatore Pierucci"
1690;"JB Howell"
1695;"Mark Tuck"
1696;"Craig Clark Williamson"
1703;"Silvano Sorrentino"
1709;"Zachary Eagle"
1715;"Jakub Caban"
1715;"Matt Dembek"
1715;"Bartosz Idzikowski"
1716;"Brian S Spence"
1717;"James Cooke Brown"
1718;"Artem Safarov"
1722;"Dan Blanchett"
1723;"Kenneth Minde"
1727;"JensPeter Schliemann"
1727;"Bernhard Weber"
1728;"Jerry Darcy"
1728;"Chuck Kallenbach"
1728;"Roland L Tesh"
1729;"Bryan Ansell"
1729;"Rick Priestley"
1734;"Lee Yih"
1738;"Mattox Shuler"
1739;"Robert Goudie"
1739;"L Scott Johnson"
1742;"Andy Chambers"
1742;"Gavin Thorpe"
1745;"Jan Bezina"
1745;"Martin Hrablek"
1745;"Michal Porek"
1747;"Marco Pranzo"
1748;"Stephen Avery"
1748;"Tom Vasel"
1749;"Ira Fay"
1751;"Chris Nelson"
1753;"Randall N Bills"
1753;"Dylan Birtolo"
1753;"Loren Coleman"
1753;"Talon Coleman"
1754;"John Kean"
1755;"Foxtrot Games"
1763;"Thomas Rauscher"
1765;"Koota Yamada"
1770;"Al Newman"
1780;"J C Connors I"
1780;"Ben Knight"
1781;"Rob Bontenbal"
1782;"John H Butterfield"
1782;"Eric Lee Smith"
1783;"Fran Diaz"
1787;"Lewis Cheshire"
1787;"Arch Stanton"
1788;"Luigi Ferrini"
1791;"WeiMin Ling"
1792;"Germn P Milln"
1794;"Din Li Tsan"
1796;"Raymond Chandler III"
1799;"Dave Williams II"
1807;"Paul Laane"
1813;"Mike Mullins"
1815;"Tom Quinn"
1815;"Ted Quinn"
1815;"Mark Sherry"
1816;"Bauldric  Friends"
1817;"Eric Dubus"
1817;"Olivier Melison"
1818;"Roy Parsons"
1818;"Katie Parsons"
1822;"Tim Armstrong II"
1834;"Courtney F Allen"
1836;"Stephanie Straw"
1839;"Heinrich Glumpler"
1840;"Claude Lucchini"
1845;"Chad Irby"
1846;"David McGregor"
1846;"Marissa Misura"
1852;"Michael Marra"
1852;"David Wyman"
1854;"Istvn Pcsi"
1854;"Frigyes Schberl"
1855;"Alan Roach"
1856;"Patrick Otley"
1858;"Chris Handy I"
1861;"Ted Torgerson"
1872;"Jared Scarborough"
1873;"Ulric Maes"
1882;"Ralph Querfurth"
1883;"Thomas Dupont"
1889;"Hermann Luttmann"
1890;"Michael Sistrunk"
1891;"Keith Meyers"
1895;"Ben Eisner"
1896;"Philippe Mouchebeuf"
1898;"Laurence Gamelin"
1898;"Philippe Gamelin"
1906;"Brent Knudson"
1906;"Brian Knudson"
1908;"Hal Eccles"
1908;"Will Kenyon"
1908;"Jason Maxwell"
1913;"YeonMin Jung"
1913;"JunHyup Kim"
1916;"Richard Keene"
1918;"William Jacobson"
1918;"Amanda Kohout"
1919;"Guillaume Lmery"
1919;"Nicolas Schlewitz"
1921;"Gerhard Hecht"
1925;"Tim BurrellSaward"
1928;"Nick Hayes"
1941;"Masayuki Kudou"
1942;"Will Schoonover"
1944;"Aske Christiansen"
1945;"Alexander Bernhardt"
1946;"Ismal Perrin"
1951;"Sean MacDonald"
1952;"Robin Lees"
1952;"Steve Mackenzie"
1964;"Lutz Stepponat"
1968;"Jonny Pac"
1968;"Carl Van Ostrand"
1968;"Drake Villareal"
1970;"Yann and Clem"
1973;"Oliver Sibthorpe"
1973;"Gary Sibthorpe"
1974;"Ralf Lehmkuhl"
1979;"Jordan Sorenson"
1980;"Robert Abbott"
1981;"S Craig Taylor"
1982;"Craig Besinque"
1983;"Ulrich Blum"
1985;"Ian Cooper I"
1987;"Alexis Allard"
1990;"Mike McManaway"
1992;"Julin Pombo"
1997;"Carlo Bortolini"
