"index";"jogoMiolosArtista"
413;"Gary Simpson"
414;"Arthur Mask"
417;"Georges Bouchelaghem"
418;"Geeks N' Orcs"
419;"Riccardo Pieruccini"
423;"Radim Pech"
424;"Oliver Freudenreich"
426;"Mikkel Bertelsen"
427;"Jeroen Kesselaar"
428;"André Teruya Eichemberg"
436;"Fréderic Bertrand"
437;"Emily R. Dearring"
440;"Anca Albu"
441;"Galbs Games"
442;"Benjamin Raynal"
443;"Fire on Board Jogos"
445;"Stef Kopinski"
446;"Steve Argyle"
447;"Kerem Beyit"
448;"Rey Sommerkamp"
454;"Pedro Soto"
456;"Ismaël Pommaz"
457;"Lalanda Hruschka"
462;"Cristina Sena"
463;"Magdalena Klepacz"
466;"Noah Bradley"
469;"Daniel Balage"
471;"James Colmer"
474;"David Cherry"
476;"Daniel Alves"
479;"Mathieu Leyssenne"
483;"Pierô"
484;"Simon Douchy"
485;"Stephanie Gustafsson"
489;"Dox Lucchin"
490;"Justin Chan"
492;"Anthony Wolff"
493;"Alanna Cervenak"
495;"Evan Simonet"
496;"Wonder Forge"
497;"Julius Abrea"
498;"Upper Deck Entertainment"
499;"Volkan Baga"
500;"Phil Walker-Harding"
501;"Dallas Mehlhoff"
502;"Albertine Ralenti"
504;"(Uncredited)"
506;"Fyodor Ananiev"
507;"Weberson Santiago"
509;"Fifty-Nine Parks Print Series"
511;"Guilherme Rodrigues Soares"
512;"Andrew Hepworth"
513;"Michaela Kienle"
514;"Allison Litchfield"
519;"Arnaud Demaegd"
521;"Konstantin Vohwinkel"
523;"Jon Mietling"
526;"C. B. Canga"
527;"Sam Phillips"
528;"Alessandra Cimatoribus"
531;"Adam P. McIver"
532;"Lamberto Azzariti"
534;"Rob Alexander"
535;"FunBox Editora"
539;"Jason D. Kingsley"
540;"Paulina Wach"
543;"Marc Margielsky"
548;"Catherine Hamilton"
550;"Jakub Jablonski"
552;"Lucas Guidetti Perez"
554;"Steeve Augier"
555;"Nan Na Hvass"
559;"Maisherly"
560;"Riccardo Crosa"
563;"Daniel Goll"
566;"Gyula Pozsgay"
567;"Sébastien Lamirand"
569;"Débora Mini"
570;"João ""Raulex"""
575;"Dylan Mangini"
576;"Lars-Arne ""Maura"" Kalusky"
577;"Anke Pohl"
578;"Gerald Brom"
581;"Luan Huynh"
583;"Gael Goumon"
585;"Adam Rebottaro"
587;"Wil Springer"
589;"Buró Editora"
590;"Silly Jellie"
592;"Czarnè"
594;"Mathieu Harlaut"
595;"Gus Batts"
596;"Warleson Oliveira"
597;"Winning Moves France"
598;"Vinícius Teixeira"
599;"Meeple BR Jogos"
600;"Dire Wolf Digital"
601;"Vincent Boulanger"
610;"Bianca Targão"
613;"Jere Kasanen"
615;"Thies Schwarz"
616;"Loïc Billiau"
626;"Daarken"
627;"Eric Bourgier"
628;"Benson Chin"
631;"Scott Okumura"
632;"Ben Goldman"
