"index";"jogoMiolosArtista"
2263;"Ariel Seoane"
2265;"Alan D. Hoch"
2270;"Eduardo Garcia"
2274;"Adrienne Ezell"
2275;"Oscar Martin"
2278;"Manoela Boianovsky da Costa"
2285;"Marcos Arnáiz Ramos"
2289;"Kevin Hill"
2297;"Froschkönig GmbH"
2299;"Josh Emrich"
2305;"Avalon Hill (Hasbro)"
2307;"Christian Opperer"
2308;"Charlie Adlard"
2309;"Rodrigo Grola"
2310;"Nick H. Smith"
2313;"Farel Dalrymple"
2315;"Alex Iglesias"
2318;"Albert Monteys"
2326;"Winning Moves"
2327;"Philip Kustov"
2328;"Szucs Gregory"
2330;"David Hudnut"
2331;"Adjair França"
2334;"Alexander Strohmaier"
2335;"Tanja Donner"
2338;"Innovention Toys"
2339;"Michał Pawlaczyk"
2344;"Milan Tasevski"
2345;"Echo Chernik"
2347;"Cari"
2348;"Ivan Freire"
2350;"Marion Pott"
2353;"Bruno Henrique Junges"
2358;"Jonas Akerlund"
2360;"Daniel Mora"
2362;"Marina Costa"
2365;"Annika Heller"
2368;"Nicoly Boaventura"
2369;"Game Office"
2370;"Rafael Zanchetin"
2372;"CrossCut Games"
2373;"Jody Henning"
2375;"Bartek Fedyczak"
2377;"Ryan Coleman"
2378;"Shannon Crutchfield"
2380;"Andre Garcia"
2382;"Crown & Andrews Ltd."
2384;"Julien Castanié"
2386;"Adilson Farias"
2388;"Banu Andaru Adhimuka"
2393;"Jan Jasiński"
2397;"Jakub Babczyński"
2398;"Beth Trott"
2404;"George Patsouras"
2406;"Rio Grande Games"
2408;"Demis Savini"
2412;"Steven Tu"
2416;"Marjorie Noël"
2419;"Incognito Studio"
2425;"Iaggo Piffero"
2428;"Vem pra Mesa Jogos"
2430;"Grafik Studio Krüger"
2431;"Mårten Skoger"
2433;"Mathieu Beaulieu"
2434;"Mosaico Jogos"
2435;"Aurélie Guarino"
2437;"Sergio Aragonés"
2438;"Hendric Sueitt"
2439;"Bryn Jones"
2440;"FRED Distribution"
2442;"Miles Bensky"
2444;"David GJ"
2446;"ICE Makes"
2447;"Clark Mitchell (I)"
2448;"Dan Verssen Games (DVG)"
2452;"Tim Huesken"
2455;"John Kean"
2456;"Jessica R. E. Bethke"
2458;"Robert Fisher"
2467;"Gamina Ltd"
2475;"Grant Wilson"
2483;"Will Terry"
2484;"Alessandro Costa"
2487;"Jim Butcher (II)"
2490;"Antonio Catalán"
2493;"Paul Adam"
2499;"Hiroko Izumida"
2500;"Karl Malepart"
2501;"Lane Brown"
2505;"Pennie Barbel"
2506;"Amelia Sales"
2513;"Fran Collado"
2515;"Fabrice ROS"
2516;"Ali Douglas"
2520;"Roberto Bovo"
2521;"Helio Greca"
2522;"Charles S. Jarboe, Jr."
2525;"Navespacial Producciones"
2526;"Eugene and Louise"
2531;"Jacob Walker"
2533;"Diego Gisbert Llorens"
2538;"Doug Anderson"
2539;"Bonnie Pang"
2541;"Ollin Timm"
2543;"Ricky Casdorph"
2548;"Looney Labs"
2556;"Dan Morison"
2559;"Never Ends Team"
2561;"Oksana Dmitrienko"
2563;"Konstantinos Kokkinis"
2564;"Gaetano Leonardi"
2566;"Franz Marc"
2567;"Gabriel Gendron"
2569;"Peter Blume"
2579;"Anders Jeppsson"
2582;"Franck Dion"
2585;"Piotr Słaby"
2591;"François Launet"
2595;"Nick Miles"
2598;"Wen Yu Li"
2601;"Tom Goyon"
2602;"Kaile Dutton"
2604;"ADC Blackfire Entertainment GmbH"
2606;"John Mac Cambridge"
2608;"Paul Bonner"
2610;"Thiago Glábrio"
2613;"Bureau De Juegos"
2614;"New Order Editora"
2620;"Claire Donaldson"
2622;"Bony le Ludonaute"
2623;"Conceptopolis"
2629;"Ash Arnett"
2635;"Tiago Palma"
2636;"Nastya Lehn"
2638;"Andrew Modestov"
2641;"Michael Graves"
2642;"Rotraud Meiler"
2643;"Makoto Takami (たかみまこと)"
2644;"Ion Game Design"
2645;"David Hueso"
2652;"Christian Hanisch"
2656;"Michael Hays"
2661;"Robertson Sondoh, Jr."
2663;"Derek Ring"
2664;"Evertide Games"
2666;"Pete Fenlon"
2667;"Mari Kolkowsky"
2668;"Büttner und Plümacher"
2671;"Dave Dobyski"
2673;"Hugo Pratt"
2674;"German Nobile"
2675;"Print & Play Productions"
2678;"Andy Kurzen"
2679;"Steve Gray"
2681;"Todd Remick"
2682;"Dave Aikins"
2684;"Harald Bilz"
2690;"Molly Ostertag"
2692;"Aleksi Briclot"
2693;"Vesuvius Media"
2697;"Raúl Castellanos"
2703;"Tom Hutchings"
2705;"Attila Adorjany"
2708;"Mike Groves"
2711;"Reinhard Alff"
2713;"Backspindle Games Ltd."
2717;"Hervé Gourdet"
2718;"K. Andersen"
2721;"Tara McPherson"
2722;"Renegade Game Studios"
2726;"Guillaume Duchemin"
2729;"Mark Tuck"
2731;"Rodrigo Rego"
2733;"Dados & Jogos"
2735;"Victor Borba"
2736;"The Skip-bo Company"
2737;"Atelier Wilinski"
2738;"Johan Andreasson"
2740;"(Web published)"
2744;"Atma"
2745;"Ivana Gahona"
2747;"Petr Štich"
2749;"Gaelle Picard"
2753;"Néstor Romeral Andrés"
2756;"Pedro Vergani"
2758;"Giota Vorgia"
2767;"Anca Gavril"
2772;"Maxim Cyr"
2775;"Juliette Brocal"
2782;"Jimmy Pickering"
2785;"Edgar Degas"
2794;"Lênin da Silva Pessoa"
2795;"Oriuzio ""Dany Orizio"" Daniele"
2796;"Matt Groening"
2813;"Brett Bean"
2814;"Ursula Vernon"
2816;"Maxime Morin"
2821;"David Rene Miller"
2828;"Thierry Doizon"
2829;"Max Holliday"
2830;"Johnny Fraser-Allen"
2831;"Luiza Sequeira"
2833;"Frank Hampson"
2835;"Kevin Keele"
2840;"North Star Games, LLC"
2852;"Brooke Allen"
2853;"Aza Chen"
2857;"David Short"
2858;"Alexey Rudikov"
2859;"Andrzej Sykut"
2863;"GreenBrier Games"
2866;"NIG Brinquedos"
2867;"Rich Carlson"
2871;"Toyster"
2876;"Mark Mcvey"
2877;"Thomas Biondiolillo"
2879;"Gary Baseman"
2887;"Alexandre Matos"
2896;"Marco Morte"
2900;"TJ Lubrano"
2905;"Gigamic"
2906;"Pedro A. Alberto"
2913;"The Game Crafter, LLC"
2920;"Andrew Looney"
2928;"Martina Leykamm"
2929;"Fabio Michelan"
2930;"Rune Andréasson"
2933;"Sergio Roma"
2939;"Nick Hayes"
2940;"Good Little Games"
2944;"David Thomas (II)"
2946;"Editrice Giochi"
2948;"Ulrike Fischer"
2949;"Jean-Claude Adelmand"
2953;"Benjamin Benéteau"
2955;"Tércos"
2960;"Cels Piñol"
2965;"Tatiana Paiva"
2967;"Marc Mones"
2982;"Pauline Amelin"
2985;"Repos Production"
2988;"Barbara Spelger"
3000;"Ju Vicentis"
3001;"Mattel Brasil"
3008;"Robb Mommaerts"
3009;"Steffen Mühlhäuser"
3011;"Jersey Giuliano"
3013;"Kristen Immoor"
3014;"TroisStudio"
3024;"John Souza"
3027;"Oca Studios"
3030;"Jurgen Spreutels"
3031;"Magdalena Markowska"
3037;"Dieter Zander"
3044;"The Toy Company Argentina S.R.L."
3047;"April Borchelt"
3050;"Golden"
3054;"Lugo"
3060;"Gustavo Zanin"
3061;"Theora Design"
3064;"Robson Minghini"
3066;"Orlando Villagran"
3067;"Fábio Provazzi"
3068;"Chris Barnardo"
3072;"Pieter Woudt"
3082;"Theodor Seuss Geisel"
3085;"Tobar Ltd"
