"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1926";"1926º";"Bus: 20th Anniversary Edition";6.7;7.7;26;"https://ludopedia.com.br/jogo/bus-20th-anniversary-edition"
"1927";"1927º";"Mini Rails";6.7;7.74;25;"https://ludopedia.com.br/jogo/mini-rails"
"1928";"1928º";"Cat Lady";6.7;7.74;25;"https://ludopedia.com.br/jogo/cat-lady"
"1929";"1929º";"Polis: Fight for the Hegemony";6.7;7.83;23;"https://ludopedia.com.br/jogo/polis-fight-for-the-hegemony"
"1930";"1930º";"EXIT: A Tumba do Faraó";6.7;6.96;100;"https://ludopedia.com.br/jogo/exit-the-game-the-pharaoh-s-tomb"
"1931";"1931º";"Pyramids";6.7;7.7;26;"https://ludopedia.com.br/jogo/pyramids"
"1932";"1932º";"878: Vikings – Invasions of England";6.7;7.74;25;"https://ludopedia.com.br/jogo/878-vikings-invasions-of-england"
"1933";"1933º";"Bravo!";6.7;8.32;16;"https://ludopedia.com.br/jogo/bravo"
"1934";"1934º";"Finca";6.69;7.53;31;"https://ludopedia.com.br/jogo/finca"
"1935";"1935º";"Super Cats";6.69;7.41;36;"https://ludopedia.com.br/jogo/super-cats"
"1936";"1936º";"DC Comics Dice Masters: Justice League";6.69;8.42;15;"https://ludopedia.com.br/jogo/dc-comics-dice-masters-justice-league"
"1937";"1937º";"Rum & Bones";6.69;7.65;27;"https://ludopedia.com.br/jogo/rum-bones"
"1938";"1938º";"Jenga Super Mario";6.69;7.69;26;"https://ludopedia.com.br/jogo/jenga-super-mario"
"1939";"1939º";"Rolos do Ofício";6.69;9.05;11;"https://ludopedia.com.br/jogo/rolos-do-oficio"
"1940";"1940º";"Ovni (Primeira Edição)";6.69;7.15;57;"https://ludopedia.com.br/jogo/ovni-primeira-edicao"
"1941";"1941º";"Revanche";6.69;7.65;27;"https://ludopedia.com.br/jogo/revanche"
"1942";"1942º";"Terra Mystica: Big Box";6.69;9.27;10;"https://ludopedia.com.br/jogo/terra-mystica-big-box"
"1943";"1943º";"Android";6.69;7.35;39;"https://ludopedia.com.br/jogo/android"
"1944";"1944º";"Tindaya";6.69;8.12;18;"https://ludopedia.com.br/jogo/tindaya"
"1945";"1945º";"Project: ELITE";6.69;8.67;13;"https://ludopedia.com.br/jogo/project-elite"
"1946";"1946º";"Firefly: The Game";6.69;7.38;37;"https://ludopedia.com.br/jogo/firefly-the-game"
"1947";"1947º";"Dark City";6.69;6.98;87;"https://ludopedia.com.br/jogo/dark-city"
"1948";"1948º";"Speed Colors";6.69;7.33;40;"https://ludopedia.com.br/jogo/speed-colors"
"1949";"1949º";"Stronghold (second edition)";6.69;8.11;18;"https://ludopedia.com.br/jogo/stronghold-second-edition"
"1950";"1950º";"Pandemic: Contagion";6.69;7.51;31;"https://ludopedia.com.br/jogo/pandemic-contagion"
"1951";"1951º";"Similo: Harry Potter";6.69;7.6;28;"https://ludopedia.com.br/jogo/similo-harry-potter"
"1952";"1952º";"Regicida";6.69;8.51;14;"https://ludopedia.com.br/jogo/regicida"
"1953";"1953º";"Betrayal at Baldur's Gate";6.68;7.34;39;"https://ludopedia.com.br/jogo/betrayal-at-baldur-s-gate"
"1954";"1954º";"Guilds of London";6.68;7.57;29;"https://ludopedia.com.br/jogo/guilds-of-london"
"1955";"1955º";"Jogo da Fronteira";6.68;7.23;47;"https://ludopedia.com.br/jogo/hart-an-der-grenze"
"1956";"1956º";"Pandemic: Zona Crítica - Europa";6.68;7.85;22;"https://ludopedia.com.br/jogo/pandemic-hot-zone-europe"
"1957";"1957º";"Siberia: The Card Game";6.68;7.6;28;"https://ludopedia.com.br/jogo/siberia-the-card-game"
"1958";"1958º";"Sim, Mestre das Trevas (Edição Verde)";6.68;6.75;367;"https://ludopedia.com.br/jogo/aye-dark-overlord"
"1959";"1959º";"The Bridges of Shangri-La";6.68;7.7;25;"https://ludopedia.com.br/jogo/the-bridges-of-shangri-la"
"1960";"1960º";"Silver & Gold";6.68;7.7;25;"https://ludopedia.com.br/jogo/silver-gold"
"1961";"1961º";"Ascension: Realms Unraveled";6.68;8.5;14;"https://ludopedia.com.br/jogo/ascension-realms-unraveled"
"1962";"1962º";"PitchCar Mini";6.68;7.84;22;"https://ludopedia.com.br/jogo/pitchcar-mini"
"1963";"1963º";"Can-Can: Edição Especial";6.68;7.12;58;"https://ludopedia.com.br/jogo/can-can-edicao-especial"
"1964";"1964º";"Pagoda";6.68;7.74;24;"https://ludopedia.com.br/jogo/pagoda"
"1965";"1965º";"Reef Encounter";6.68;7.59;28;"https://ludopedia.com.br/jogo/reef-encounter"
"1966";"1966º";"Forge War";6.68;8.17;17;"https://ludopedia.com.br/jogo/forge-war"
"1967";"1967º";"Pathfinder Adventure Card Game: Skull & Shackles - Base Set";6.68;8.79;12;"https://ludopedia.com.br/jogo/pathfinder-adventure-card-game-skull-shackles-base-set"
"1968";"1968º";"Paranauê";6.68;7.21;48;"https://ludopedia.com.br/jogo/paranaue"
"1969";"1969º";"Amyitis";6.68;7.73;24;"https://ludopedia.com.br/jogo/amyitis"
"1970";"1970º";"The World of Smog: Rise of Moloch";6.68;8.49;14;"https://ludopedia.com.br/jogo/the-world-of-smog-rise-of-moloch"
"1971";"1971º";"Pack & Stack";6.68;7.33;39;"https://ludopedia.com.br/jogo/pack-stack"
"1972";"1972º";"Drakkar Tum Tum";6.68;7.07;64;"https://ludopedia.com.br/jogo/drakkar-tum-tum"
"1973";"1973º";"Rum & Pirates";6.68;7.44;33;"https://ludopedia.com.br/jogo/rum-pirates"
"1974";"1974º";"WAR: Edição Especial";6.67;6.74;390;"https://ludopedia.com.br/jogo/war-edicao-especial"
"1975";"1975º";"Bios: Origins (Second Edition)";6.67;8.35;15;"https://ludopedia.com.br/jogo/bios-origins-second-edition"
"1976";"1976º";"Miraculum";6.67;8.47;14;"https://ludopedia.com.br/jogo/miraculum"
"1977";"1977º";"Kluster";6.67;7.54;29;"https://ludopedia.com.br/jogo/kluster"
