"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1061";"1061º";"Rummikub Twist";7.09;8.3;33;"https://ludopedia.com.br/jogo/rummikub-twist"
"1062";"1062º";"Unicorn Fever";7.09;7.74;61;"https://ludopedia.com.br/jogo/unicorn-fever"
"1063";"1063º";"Disney Villainous: Perfectly Wretched";7.09;8.9;22;"https://ludopedia.com.br/jogo/disney-villainous-perfectly-wretched"
"1064";"1064º";"Merchant of Venus (Second Edition)";7.09;7.99;44;"https://ludopedia.com.br/jogo/merchant-of-venus-second-edition"
"1065";"1065º";"Oriflamme";7.09;7.84;53;"https://ludopedia.com.br/jogo/oriflamme"
"1066";"1066º";"Patuscada";7.09;7.32;173;"https://ludopedia.com.br/jogo/patuscada"
"1067";"1067º";"Pandemic: Zona Crítica - América do Norte";7.09;7.74;61;"https://ludopedia.com.br/jogo/pandemic-hot-zone-north-america"
"1068";"1068º";"Manila";7.09;7.4;128;"https://ludopedia.com.br/jogo/manila"
"1069";"1069º";"Istanbul: Jogo de Dados";7.09;8.08;40;"https://ludopedia.com.br/jogo/istanbul-the-dice-game"
"1070";"1070º";"Senda Zen";7.09;8.22;35;"https://ludopedia.com.br/jogo/senda-zen"
"1071";"1071º";"Galaxy Defenders";7.09;8.13;38;"https://ludopedia.com.br/jogo/galaxy-defenders"
"1072";"1072º";"Treta do anzol";7.09;8.03;42;"https://ludopedia.com.br/jogo/treta-do-anzol"
"1073";"1073º";"Arkwright";7.08;8.15;37;"https://ludopedia.com.br/jogo/arkwright"
"1074";"1074º";"Imperial Settlers: Empires of the North";7.08;8.15;37;"https://ludopedia.com.br/jogo/imperial-settlers-empires-of-the-north"
"1075";"1075º";"Uno Flip!";7.08;8.35;31;"https://ludopedia.com.br/jogo/uno-flip"
"1076";"1076º";"Lobisomem por uma noite: Monstros";7.08;7.25;235;"https://ludopedia.com.br/jogo/one-night-werewolf-monster"
