"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1";"1º";"Terraforming Mars";9.0;9.05;2495;"https://www.ludopedia.com.br/jogo/terraforming-mars"
"2";"2º";"Projeto Gaia";9.0;9.1;1062;"https://www.ludopedia.com.br/jogo/gaia-project"
"3";"3º";"Gloomhaven";8.99;9.14;750;"https://www.ludopedia.com.br/jogo/gloomhaven"
"4";"4º";"Terra Mystica";8.98;9.03;2306;"https://www.ludopedia.com.br/jogo/terra-mystica"
"5";"5º";"Brass: Lancashire";8.97;9.18;498;"https://www.ludopedia.com.br/jogo/brass-lancashire"
"6";"6º";"Brass: Birmingham";8.96;9.1;721;"https://www.ludopedia.com.br/jogo/brass-birmingham"
"7";"7º";"Twilight Imperium (Quarta Edição)";8.93;9.16;452;"https://www.ludopedia.com.br/jogo/twilight-imperium-fourth-edition"
"8";"8º";"Mage Knight: Edição Definitiva";8.88;9.15;370;"https://www.ludopedia.com.br/jogo/mage-knight-ultimate-edition"
"9";"9º";"Star Wars: Rebellion";8.87;9.02;708;"https://www.ludopedia.com.br/jogo/star-wars-rebellion"
"10";"10º";"Great Western Trail";8.87;8.94;1309;"https://www.ludopedia.com.br/jogo/great-western-trail"
"11";"11º";"7 Wonders Duel";8.86;8.9;2479;"https://www.ludopedia.com.br/jogo/7-wonders-duel"
"12";"12º";"Clãs da Caledônia";8.85;8.95;1049;"https://www.ludopedia.com.br/jogo/clans-of-caledonia"
"13";"13º";"Puerto Rico";8.84;8.88;3052;"https://www.ludopedia.com.br/jogo/puerto-rico"
"14";"14º";"The Castles of Burgundy";8.84;8.9;1701;"https://www.ludopedia.com.br/jogo/the-castles-of-burgundy"
"15";"15º";"Wingspan";8.79;8.86;1355;"https://www.ludopedia.com.br/jogo/wingspan"
"16";"16º";"O Senhor dos Anéis: Jornadas na Terra Média";8.79;8.93;706;"https://www.ludopedia.com.br/jogo/the-lord-of-the-rings-journeys-in-middle-earth"
"17";"17º";"Lisboa";8.77;8.92;648;"https://www.ludopedia.com.br/jogo/lisboa"
"18";"18º";"Um Banquete a Odin";8.77;8.9;747;"https://www.ludopedia.com.br/jogo/a-feast-for-odin"
"19";"19º";"Twilight Struggle";8.77;8.86;1065;"https://www.ludopedia.com.br/jogo/twilight-struggle"
"20";"20º";"Spirit Island";8.74;8.91;578;"https://www.ludopedia.com.br/jogo/spirit-island"
"21";"21º";"Through The Ages: Uma Nova História da Civilização";8.74;8.87;729;"https://www.ludopedia.com.br/jogo/through-the-ages-a-new-story-of-civilization"
"22";"22º";"Scythe";8.73;8.79;1527;"https://www.ludopedia.com.br/jogo/scythe"
"23";"23º";"Mansions of Madness (2ª Edição)";8.72;8.78;1542;"https://www.ludopedia.com.br/jogo/mansions-of-madness-second-edition"
"24";"24º";"Five Tribes";8.72;8.78;1612;"https://www.ludopedia.com.br/jogo/five-tribes"
"25";"25º";"Guerra do Anel (Segunda Edição)";8.72;8.91;505;"https://www.ludopedia.com.br/jogo/war-of-the-ring-second-edition"
"26";"26º";"Pandemic Legacy: 1ª Temporada";8.7;8.84;677;"https://www.ludopedia.com.br/jogo/pandemic-legacy-season-1"
"27";"27º";"Root";8.7;8.81;896;"https://www.ludopedia.com.br/jogo/root"
