"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"965";"965º";"Escape: The Curse of the Temple";7.18;7.47;149;"https://ludopedia.com.br/jogo/escape-the-curse-of-the-temple"
"966";"966º";"Maré Alta";7.18;7.4;195;"https://ludopedia.com.br/jogo/turn-the-tide"
"967";"967º";"Near and Far";7.18;8.19;43;"https://ludopedia.com.br/jogo/near-and-far"
"968";"968º";"Covil: Mestres das Trevas";7.18;7.35;251;"https://ludopedia.com.br/jogo/covil-the-dark-overlords"
"969";"969º";"Yangtze";7.18;7.46;152;"https://ludopedia.com.br/jogo/lanterns-the-harvest-festival"
"970";"970º";"Medievalia";7.18;7.35;258;"https://ludopedia.com.br/jogo/medievalia"
"971";"971º";"Artifacts, Inc.";7.18;7.89;61;"https://ludopedia.com.br/jogo/artifacts-inc"
"972";"972º";"De Vulgari Eloquentia";7.18;7.96;55;"https://ludopedia.com.br/jogo/de-vulgari-eloquentia"
"973";"973º";"Café Express";7.18;7.65;91;"https://ludopedia.com.br/jogo/cafe-express"
"974";"974º";"Giants";7.18;7.93;57;"https://ludopedia.com.br/jogo/giants"
"975";"975º";"London";7.18;8.2;42;"https://ludopedia.com.br/jogo/london"
"976";"976º";"Architectura";7.17;7.55;113;"https://ludopedia.com.br/jogo/architectura"
"977";"977º";"Qwirkle";7.17;7.72;78;"https://ludopedia.com.br/jogo/qwirkle"
"978";"978º";"Cleopatra and the Society of Architects";7.17;7.65;89;"https://ludopedia.com.br/jogo/cleopatra-and-the-society-of-architects"
"979";"979º";"Love Letter: Adventure Time";7.17;7.77;72;"https://ludopedia.com.br/jogo/love-letter-adventure-time"
"980";"980º";"Rory's Story Cubes";7.17;7.47;143;"https://ludopedia.com.br/jogo/rory-s-story-cubes"
"981";"981º";"Fresco: Big Box";7.17;8.27;39;"https://ludopedia.com.br/jogo/fresco-big-box"
"982";"982º";"New York Zoo";7.17;7.65;89;"https://ludopedia.com.br/jogo/new-york-zoo"
"983";"983º";"Yokohama: Deluxe Edition";7.17;9.03;23;"https://ludopedia.com.br/jogo/yokohama-deluxe-edition"
"984";"984º";"Seven Galaxies";7.17;9.11;22;"https://ludopedia.com.br/jogo/seven-galaxies"
"985";"985º";"Ultimate Warriorz";7.17;7.4;188;"https://ludopedia.com.br/jogo/ultimate-warriorz"
"986";"986º";"Inis";7.17;7.82;66;"https://ludopedia.com.br/jogo/inis"
"987";"987º";"Skull";7.17;7.41;179;"https://ludopedia.com.br/jogo/skull"
"988";"988º";"Costa Ruana";7.17;7.5;128;"https://ludopedia.com.br/jogo/costa-ruana"
"989";"989º";"Unfair";7.17;7.93;56;"https://ludopedia.com.br/jogo/unfair"
"990";"990º";"Carcassonne: Star Wars";7.17;7.4;178;"https://ludopedia.com.br/jogo/carcassonne-star-wars"
"991";"991º";"Rick and Morty: Total Rickall Card Game";7.17;7.47;140;"https://ludopedia.com.br/jogo/rick-and-morty-total-rickall-card-game"
"992";"992º";"As Lendas de Andor: A Última Esperança";7.16;8.35;36;"https://ludopedia.com.br/jogo/legends-of-andor-the-last-hope"
"993";"993º";"Ciclo da Vida";7.16;9.41;19;"https://ludopedia.com.br/jogo/ciclo-da-vida"
"994";"994º";"Mixtapes";7.16;9.19;21;"https://ludopedia.com.br/jogo/mixtapes"
"995";"995º";"Masai";7.16;9.53;18;"https://ludopedia.com.br/jogo/masai"
"996";"996º";"Front Total";7.16;9.01;23;"https://ludopedia.com.br/jogo/front-total"
"997";"997º";"Bang! Pocket";7.16;7.23;598;"https://ludopedia.com.br/jogo/bang-pocket"
"998";"998º";"Labyrinx";7.16;7.53;117;"https://ludopedia.com.br/jogo/labyrinx"
"999";"999º";"Rummikub Twist";7.16;8.34;36;"https://ludopedia.com.br/jogo/rummikub-twist"
"1000";"1000º";"Telestrations: Na Madruga";7.16;8.79;26;"https://ludopedia.com.br/jogo/telestrations-after-dark"
"1001";"1001º";"Imagem & Ação 2";7.16;7.23;596;"https://ludopedia.com.br/jogo/imagem-acao-2"
"1002";"1002º";"VINIL";7.16;9.08;22;"https://ludopedia.com.br/jogo/vinil"
"1003";"1003º";"Asara";7.16;7.99;51;"https://ludopedia.com.br/jogo/asara"
"1004";"1004º";"Elfenland";7.15;7.46;138;"https://ludopedia.com.br/jogo/elfenland"
"1005";"1005º";"The Builders: Middle Ages";7.15;7.38;184;"https://ludopedia.com.br/jogo/the-builders-middle-ages"
"1006";"1006º";"Mystic Vale";7.15;7.71;75;"https://ludopedia.com.br/jogo/mystic-vale"
"1007";"1007º";"Midgard: The Card Game";7.15;7.38;184;"https://ludopedia.com.br/jogo/midgard-the-card-game"
"1008";"1008º";"Stockpile";7.15;7.86;59;"https://ludopedia.com.br/jogo/stockpile"
"1009";"1009º";"Gataria";7.15;8.01;49;"https://ludopedia.com.br/jogo/gataria"
"1010";"1010º";"Futebol de Botão";7.15;7.44;142;"https://ludopedia.com.br/jogo/futebol-de-botao"
"1011";"1011º";"Star Trek: Frontiers";7.15;8.9;24;"https://ludopedia.com.br/jogo/star-trek-frontiers"
"1012";"1012º";"Nessos";7.15;7.91;55;"https://ludopedia.com.br/jogo/nessos"
"1013";"1013º";"Ninja Camp";7.14;7.34;215;"https://ludopedia.com.br/jogo/ninja-camp"
"1014";"1014º";"Loony Quest";7.14;7.29;279;"https://ludopedia.com.br/jogo/loony-quest"
"1015";"1015º";"Majesty: For the Realm";7.14;7.71;74;"https://ludopedia.com.br/jogo/majesty-for-the-realm"
"1016";"1016º";"Holmes: Sherlock & Mycroft";7.14;7.35;198;"https://ludopedia.com.br/jogo/holmes-sherlock-mycroft"
"1017";"1017º";"Santa Monica";7.14;8.27;37;"https://ludopedia.com.br/jogo/santa-monica"
"1018";"1018º";"Dwar7s Spring";7.14;8.4;33;"https://ludopedia.com.br/jogo/dwar7s-spring"
"1019";"1019º";"The Flow of History";7.14;7.88;56;"https://ludopedia.com.br/jogo/the-flow-of-history"
"1020";"1020º";"Cave Troll";7.14;7.58;95;"https://ludopedia.com.br/jogo/cave-troll"
